metrica,tratamento,n,mediana,q1,q3,iqr,minimo,maximo,media
cc_media,com_ia,4,1.5,1.0,2.0,1.0,1.0,2.0,1.5
cc_media,sem_ia,4,2.5,2.0,3.0,1.0,2.0,3.0,2.5
cc_total_por_kloc,com_ia,4,416.66499999999996,312.4975,500.0,187.5025,250.0,500.0,395.8325
cc_total_por_kloc,sem_ia,4,466.66499999999996,312.4975,600.0,287.5025,250.0,600.0,445.8325
dup_percentual,com_ia,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dup_percentual,sem_ia,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sloc,com_ia,4,4.0,2.0,6.5,4.5,2.0,8.0,4.5
sloc,sem_ia,4,5.5,5.0,6.5,1.5,5.0,8.0,6.0
mi_medio,com_ia,4,77.76,70.635,84.62,13.985,69.84,84.62,77.495
mi_medio,sem_ia,4,73.895,69.8925,77.88,7.987499999999997,69.84,77.88,73.8775
