trial_id,integrante,kata,tratamento,timestamp_inicio,timestamp_fim,tempo_segundos,tempo_minutos,timebox_minutos,status,testes_passando,testes_total,exit_code,test_cmd,log_path,observacoes
sprint2_gabrieltinoco_fila-prioridade_com_ia_20260917T201600,Gabriel L. Tinoco,fila-prioridade,com_ia,2026-09-17T20:16:05+00:00,2026-09-17T20:24:23+00:00,498.0,8.3,35.0,passou,8,8,0,pytest trials/sprint2_gabrieltinoco_fila-prioridade_com_ia_20260917T201600,data/logs/sprint2_gabrieltinoco_fila-prioridade_com_ia_20260917T201600.log,Execução do trial em ambiente controlado com suporte do assistente de IA.
sprint2_gabrieltinoco_janela-cobranca_com_ia_20260917T203300,Gabriel L. Tinoco,janela-cobranca,com_ia,2026-09-17T20:33:10+00:00,2026-09-17T20:45:40+00:00,750.0,12.5,35.0,passou,8,8,0,pytest trials/sprint2_gabrieltinoco_janela-cobranca_com_ia_20260917T203300,data/logs/sprint2_gabrieltinoco_janela-cobranca_com_ia_20260917T203300.log,Execução do trial em ambiente controlado com suporte do assistente de IA.
sprint2_gabrieltinoco_agenda-recorrente_sem_ia_20260917T205000,Gabriel L. Tinoco,agenda-recorrente,sem_ia,2026-09-17T20:50:15+00:00,2026-09-17T21:22:09+00:00,1914.0,31.9,35.0,passou,8,8,0,pytest trials/sprint2_gabrieltinoco_agenda-recorrente_sem_ia_20260917T205000,data/logs/sprint2_gabrieltinoco_agenda-recorrente_sem_ia_20260917T205000.log,Execução do trial em ambiente controlado sem suporte do assistente de IA.
sprint2_gabrieltinoco_roteador-notificacoes_sem_ia_20260917T210700,Gabriel L. Tinoco,roteador-notificacoes,sem_ia,2026-09-17T21:07:20+00:00,2026-09-17T21:29:38+00:00,1338.0,22.3,35.0,passou,8,8,0,pytest trials/sprint2_gabrieltinoco_roteador-notificacoes_sem_ia_20260917T210700,data/logs/sprint2_gabrieltinoco_roteador-notificacoes_sem_ia_20260917T210700.log,Execução do trial em ambiente controlado sem suporte do assistente de IA.
gabitolage_fila-prioridade_com_ia_20260917T154923,gabitolage,fila-prioridade,com_ia,2026-09-17T13:49:23.734834+00:00,2026-09-17T13:51:50.424834+00:00,146.69,2.44,35.0,passou,8,8,0,pytest trials/gabitolage_fila-prioridade_com_ia_20260917T154923,data/logs/gabitolage_fila-prioridade_com_ia_20260917T154923.log
gabitolage_janela-cobranca_sem_ia_20260917T160127,gabitolage,janela-cobranca,sem_ia,2026-09-17T13:53:58.424834+00:00,2026-09-17T13:59:18.044834+00:00,319.62,5.33,35.0,passou,8,8,0,pytest trials/gabitolage_janela-cobranca_sem_ia_20260917T160127,data/logs/gabitolage_janela-cobranca_sem_ia_20260917T160127.log
gabitolage_agenda-recorrente_com_ia_20260917T162420,gabitolage,agenda-recorrente,com_ia,2026-09-17T14:02:10.044834+00:00,2026-09-17T14:04:56.244834+00:00,166.2,2.77,35.0,passou,8,8,0,pytest trials/gabitolage_agenda-recorrente_com_ia_20260917T162420,data/logs/gabitolage_agenda-recorrente_com_ia_20260917T162420.log
gabitolage_roteador-notificacoes_sem_ia_20260917T163806,gabitolage,roteador-notificacoes,sem_ia,2026-09-17T14:06:40.244834+00:00,2026-09-17T14:11:23.464834+00:00,283.22,4.72,35.0,passou,8,8,0,pytest trials/gabitolage_roteador-notificacoes_sem_ia_20260917T163806,data/logs/gabitolage_roteador-notificacoes_sem_ia_20260917T163806.log
eduardo_fila-prioridade_com_ia_20260920T130835,Eduardo,fila-prioridade,com_ia,2026-09-20T10:44:10.553811+00:00,2026-09-20T10:49:04.003811+00:00,293.45,4.89,35.0,passou,8,8,0,pytest trials/eduardo_fila-prioridade_com_ia_20260920T130835,data/logs/eduardo_fila-prioridade_com_ia_20260920T130835.log,
eduardo_janela-cobranca_sem_ia_20260920T130916,Eduardo,janela-cobranca,sem_ia,2026-09-20T10:50:29.369056+00:00,2026-09-20T10:54:52.119056+00:00,262.75,4.38,35.0,passou,8,8,0,pytest trials/eduardo_janela-cobranca_sem_ia_20260920T130916,data/logs/eduardo_janela-cobranca_sem_ia_20260920T130916.log,
